Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,143997.781,R,uuid,,,,
activeClientSessions,IsActiveSession,143997.782,R,id,,,,
verify system,,143997.782,,,,,,
sessions,FetchUUIDFromToken,144110.428,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144110.429,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144110.431,R,data,,,,
newclear session,,144110.436,,,,,,
sessions,FetchUUIDFromToken,144112.248,R,uuid,,,,
updateAll,,144112.248,,,,,,
activeClientSessions,IsActiveSession,144113.171,R,id,,,,
accounts,FetchTrainerIds,144113.172,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144113.172,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144113.173,R,data,,,,
accounts,UpdateAccountLastActivity,144113.178,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144113.197,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144113.198,W,lastActivity,,,,
accountStats,UpdateAccountStats,144113.200,W,stats,,,,
systemSaveData,StoreSystemSaveData,144113.253,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144113.479,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144113.480,W,uuid,clientSessionId,,,
clear session,,144113.494,,,,,,
accounts,UpdateAccountLastActivity,144113.496,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,144113.499,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,144113.720,R,uuid,,,,
Info,,144113.720,,,,,,
accounts,FetchUsernameFromUUID,144113.721,R,userName,,,,
accounts,FetchDiscordIdByUsername,144113.721,R,discordId,,,,
accounts,FetchGoogleIdByUsername,144113.722,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,144113.723,R,slot,,,,
sessions,FetchUUIDFromToken,144184.781,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144184.782,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144184.783,R,data,,,,
sessions,FetchUUIDFromToken,144185.064,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144185.065,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144185.066,R,data,,,,
sessions,FetchUUIDFromToken,144185.074,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144185.074,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144185.075,R,data,,,,
sessions,FetchUUIDFromToken,144185.138,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144185.139,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144185.140,R,data,,,,
sessions,FetchUUIDFromToken,144185.144,R,uuid,,,,
activeClientSessions,UpdateActiveSession,144185.145,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,144185.145,R,data,,,,
sessions,FetchUUIDFromToken,144194.699,R,uuid,,,,
updateAll,,144194.699,,,,,,
activeClientSessions,IsActiveSession,144195.648,R,id,,,,
accounts,FetchTrainerIds,144195.649,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144195.649,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144195.650,R,data,,,,
accounts,UpdateAccountLastActivity,144195.652,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144195.660,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144195.661,W,lastActivity,,,,
accountStats,UpdateAccountStats,144195.663,W,stats,,,,
systemSaveData,StoreSystemSaveData,144195.708,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144213.442,R,uuid,,,,
activeClientSessions,IsActiveSession,144213.443,R,id,,,,
verify system,,144213.443,,,,,,
sessions,FetchUUIDFromToken,144229.449,R,uuid,,,,
activeClientSessions,IsActiveSession,144229.450,R,id,,,,
verify system,,144229.450,,,,,,
sessions,FetchUUIDFromToken,144255.050,R,uuid,,,,
activeClientSessions,IsActiveSession,144255.051,R,id,,,,
verify system,,144255.051,,,,,,
sessions,FetchUUIDFromToken,144273.828,R,uuid,,,,
activeClientSessions,IsActiveSession,144273.829,R,id,,,,
verify system,,144273.829,,,,,,
sessions,FetchUUIDFromToken,144299.454,R,uuid,,,,
updateAll,,144299.454,,,,,,
activeClientSessions,IsActiveSession,144300.764,R,id,,,,
accounts,FetchTrainerIds,144300.765,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144300.766,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144300.766,R,data,,,,
accounts,UpdateAccountLastActivity,144300.770,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144300.776,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144300.777,W,lastActivity,,,,
accountStats,UpdateAccountStats,144300.779,W,stats,,,,
systemSaveData,StoreSystemSaveData,144300.793,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144332.532,R,uuid,,,,
activeClientSessions,IsActiveSession,144332.532,R,id,,,,
verify system,,144332.532,,,,,,
sessions,FetchUUIDFromToken,144374.423,R,uuid,,,,
activeClientSessions,IsActiveSession,144374.424,R,id,,,,
verify system,,144374.424,,,,,,
sessions,FetchUUIDFromToken,144412.842,R,uuid,,,,
activeClientSessions,IsActiveSession,144412.842,R,id,,,,
verify system,,144412.843,,,,,,
sessions,FetchUUIDFromToken,144442.400,R,uuid,,,,
activeClientSessions,IsActiveSession,144442.401,R,id,,,,
verify system,,144442.401,,,,,,
sessions,FetchUUIDFromToken,144476.974,R,uuid,,,,
updateAll,,144476.974,,,,,,
activeClientSessions,IsActiveSession,144477.909,R,id,,,,
accounts,FetchTrainerIds,144477.910,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144477.910,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144477.911,R,data,,,,
accounts,UpdateAccountLastActivity,144477.914,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144477.930,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144477.931,W,lastActivity,,,,
accountStats,UpdateAccountStats,144477.933,W,stats,,,,
systemSaveData,StoreSystemSaveData,144477.956,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144521.846,R,uuid,,,,
activeClientSessions,IsActiveSession,144521.847,R,id,,,,
verify system,,144521.847,,,,,,
sessions,FetchUUIDFromToken,144564.328,R,uuid,,,,
activeClientSessions,IsActiveSession,144564.329,R,id,,,,
verify system,,144564.329,,,,,,
sessions,FetchUUIDFromToken,144607.629,R,uuid,,,,
activeClientSessions,IsActiveSession,144607.630,R,id,,,,
verify system,,144607.630,,,,,,
sessions,FetchUUIDFromToken,144644.408,R,uuid,,,,
activeClientSessions,IsActiveSession,144644.409,R,id,,,,
verify system,,144644.409,,,,,,
sessions,FetchUUIDFromToken,144664.671,R,uuid,,,,
updateAll,,144664.671,,,,,,
activeClientSessions,IsActiveSession,144665.892,R,id,,,,
accounts,FetchTrainerIds,144665.893,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144665.894,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144665.895,R,data,,,,
accounts,UpdateAccountLastActivity,144665.900,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144665.917,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144665.919,W,lastActivity,,,,
accountStats,UpdateAccountStats,144665.921,W,stats,,,,
systemSaveData,StoreSystemSaveData,144665.944,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144700.048,R,uuid,,,,
activeClientSessions,IsActiveSession,144700.049,R,id,,,,
verify system,,144700.049,,,,,,
sessions,FetchUUIDFromToken,144751.074,R,uuid,,,,
activeClientSessions,IsActiveSession,144751.074,R,id,,,,
verify system,,144751.074,,,,,,
sessions,FetchUUIDFromToken,144810.396,R,uuid,,,,
activeClientSessions,IsActiveSession,144810.397,R,id,,,,
verify system,,144810.397,,,,,,
sessions,FetchUUIDFromToken,144862.050,R,uuid,,,,
activeClientSessions,IsActiveSession,144862.051,R,id,,,,
verify system,,144862.051,,,,,,
sessions,FetchUUIDFromToken,144906.637,R,uuid,,,,
updateAll,,144906.638,,,,,,
activeClientSessions,IsActiveSession,144907.647,R,id,,,,
accounts,FetchTrainerIds,144907.649,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144907.649,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144907.650,R,data,,,,
accounts,UpdateAccountLastActivity,144907.655,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144907.672,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144907.673,W,lastActivity,,,,
accountStats,UpdateAccountStats,144907.675,W,stats,,,,
systemSaveData,StoreSystemSaveData,144907.700,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144921.073,R,uuid,,,,
updateAll,,144921.073,,,,,,
activeClientSessions,IsActiveSession,144923.666,R,id,,,,
accounts,FetchTrainerIds,144923.666,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144923.667,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144923.668,R,data,,,,
accounts,UpdateAccountLastActivity,144923.672,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144923.679,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144923.680,W,lastActivity,,,,
accountStats,UpdateAccountStats,144923.682,W,stats,,,,
systemSaveData,StoreSystemSaveData,144923.722,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144926.632,R,uuid,,,,
updateAll,,144926.632,,,,,,
activeClientSessions,IsActiveSession,144927.173,R,id,,,,
accounts,FetchTrainerIds,144927.174,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144927.174,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144927.175,R,data,,,,
accounts,UpdateAccountLastActivity,144927.178,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144927.187,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144927.189,W,lastActivity,,,,
accountStats,UpdateAccountStats,144927.191,W,stats,,,,
systemSaveData,StoreSystemSaveData,144927.204,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144929.368,R,uuid,,,,
updateAll,,144929.368,,,,,,
activeClientSessions,IsActiveSession,144929.890,R,id,,,,
accounts,FetchTrainerIds,144929.891,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144929.892,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144929.893,R,data,,,,
accounts,UpdateAccountLastActivity,144929.898,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144929.911,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144929.912,W,lastActivity,,,,
accountStats,UpdateAccountStats,144929.915,W,stats,,,,
systemSaveData,StoreSystemSaveData,144929.932,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144932.375,R,uuid,,,,
updateAll,,144932.375,,,,,,
activeClientSessions,IsActiveSession,144934.408,R,id,,,,
accounts,FetchTrainerIds,144934.409,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144934.410,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144934.410,R,data,,,,
accounts,UpdateAccountLastActivity,144934.413,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144934.422,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144934.422,W,lastActivity,,,,
accountStats,UpdateAccountStats,144934.425,W,stats,,,,
systemSaveData,StoreSystemSaveData,144934.442,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144937.891,R,uuid,,,,
updateAll,,144937.891,,,,,,
activeClientSessions,IsActiveSession,144938.882,R,id,,,,
accounts,FetchTrainerIds,144938.882,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,144938.883,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,144938.885,R,data,,,,
accounts,UpdateAccountLastActivity,144938.892,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,144938.900,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,144938.901,W,lastActivity,,,,
accountStats,UpdateAccountStats,144938.904,W,stats,,,,
systemSaveData,StoreSystemSaveData,144938.920,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,144951.368,R,uuid,,,,
activeClientSessions,IsActiveSession,144951.369,R,id,,,,
verify system,,144951.369,,,,,,
